,id,parent_id,slug
0,1,,Furniture
1,2,1,Kitchen & Dining Furniture
2,3,2,Dining Chairs
3,4,2,Dining Benches
4,5,2,Kitchen & Bar Stools
5,6,2,Dining Tables
6,7,2,Dining Table Sets
7,8,2,Sideboards
8,9,2,Display Cabinets & Dressers
9,10,2,Pantry Cupboards
10,11,2,Kitchen Islands & Trolleys
11,12,2,Drinks Trolleys & Bar Carts
12,13,2,Bar Tables & Bar Table Sets
13,14,2,Folding Tables
14,15,2,Seat Cushions
15,16,2,Table Tops & Bases
16,17,1,Living Room Furniture
17,18,17,Sofas & Corner Sofas
18,19,18,Futons & Futon Accessories
19,20,19,Futons
20,21,19,Futon Mattresses
21,22,18,Sofa Beds
22,23,18,Living Room Furniture Sets
23,24,18,Sofas
24,25,18,Corner Sofas
25,26,18,2-Seater Sofas & Love Seats
26,27,17,Chairs
27,28,27,Folding Chairs & Stools
28,29,27,Recliner Chairs
29,30,27,Dining Chairs
30,31,27,Chaise Longues
31,32,27,Nursing Chairs & Gliders
32,33,27,Armchairs
33,34,27,Rocking Chairs
34,35,17,Coffee & Side Tables
35,36,35,Accent & Garden Stools
36,37,35,Coffee Table Sets
37,38,35,Plant Stands & Tables
38,39,35,Lap Trays & Tray Tables
39,40,35,Coffee Tables
40,41,35,Side Tables
41,42,35,Console Tables
42,43,17,Bookcases
43,44,17,Decorative Chests & Cabinets
44,45,17,Media Storage & Media Units
45,46,45,TV Stands & Units
46,47,45,DVD & CD Racks
47,48,45,Media Cabinets
48,49,17,Footstools & Ottomans
49,50,17,Futons & Futon Accessories
50,51,50,Futons
51,52,50,Futon Mattresses
52,53,17,Chair Covers & Sofa Covers
53,54,1,Garden Furniture
54,55,54,Garden Chairs
55,56,55,Garden Lounge Chairs
56,57,55,Sun Loungers
57,58,55,Folding Garden Chairs
58,59,55,Garden Dining Chairs
59,60,54,Garden Lounge Furniture
60,61,60,Garden Lounge Sets
61,62,60,Garden Side Tables
62,63,60,Outdoor Serving Carts
63,64,60,Garden Sofas
64,65,60,Garden Lounge Chairs
65,66,60,Accent & Garden Stools
66,67,60,Garden Coffee Tables
67,68,60,Garden Footstools
68,69,54,Garden Dining Furniture
69,70,69,Outdoor Dining Sets
70,71,69,Garden Bistro Tables
71,72,69,Garden Bistro Sets
72,73,69,Outdoor Bar Stools
73,74,69,Garden Dining Tables
74,75,69,Garden Dining Chairs
75,76,54,Sun Loungers
76,77,54,Garden Benches
77,78,54,Hammocks
78,79,54,Hammock Stands & Accessories
79,80,54,Outdoor Bar Furniture
80,81,80,Garden Bistro Tables
81,82,80,Garden Bistro Sets
82,83,80,Outdoor Bar Stools
83,84,80,Outdoor Serving Carts
84,85,54,Garden Furniture Covers
85,86,54,Garden Swing Seats
86,87,54,Parasols
87,88,54,Parasol Accessories
88,89,1,Home Office Furniture
89,90,89,Laptop Stands & Office Trolleys
90,91,89,Storage Cabinets
91,92,89,Bookcases
92,93,89,Desks & Writing Bureaus
93,94,89,Office Chairs
94,95,89,Filing Cabinets
95,96,89,Drawing Tables
96,97,1,Bedroom Furniture
97,98,97,Beds
98,99,98,Children's Beds & Bedroom Sets
99,100,99,Bunk Beds
100,101,99,Day Beds
101,102,99,High & Mid Sleeper Beds
102,103,99,Children's Bedroom Furniture Sets
103,104,99,Children's Beds
104,105,98,Four Poster Beds
105,106,98,Day Beds
106,107,98,Divan Beds
107,108,98,Sleigh Beds
108,109,98,Panel Beds
109,110,98,High & Mid Sleeper Beds
110,111,98,Bunk Beds
111,112,98,Folding Beds
112,113,97,Headboards
113,114,97,Bedside Tables
114,115,97,Chests of Drawers
115,116,97,Bedroom Furniture Sets
116,117,97,Wardrobes & Armoires
117,118,97,Dressing Tables
118,119,97,Dressing Table Stools
119,120,97,Upholstered Benches
120,121,97,Metal Bed Frames
121,122,97,Mattresses
122,123,1,Children's Furniture
123,124,123,Children's Toy Boxes & Benches
124,125,123,Children's Seating
125,126,125,Children's Tables & Chairs
126,127,125,Children's Chairs
127,128,125,Bean Bags
128,129,123,Children's Beds & Bedroom Sets
129,130,129,Bunk Beds
130,131,129,Day Beds
131,132,129,High & Mid Sleeper Beds
132,133,129,Children's Bedroom Furniture Sets
133,134,129,Children's Beds
134,135,123,Toy Organisers
135,136,123,Bunk Beds
136,137,123,High & Mid Sleeper Beds
137,138,123,Children's Bookcases
138,139,123,Children's Desks
139,140,123,Children's Bedroom Furniture Sets
140,141,123,Children's Bedside Tables
141,142,123,Children's Clothes Storage
142,143,1,Nursery Furniture
143,144,143,Children's Clothes Storage
144,145,143,Nursing Chairs & Gliders
145,146,143,Toy Organisers
146,147,143,Baby Changing Mats & Pads
147,148,143,Moses Baskets & Cradles
148,149,143,Cot Mattresses
149,150,143,"Cots, Cribs & Cot Beds"
150,151,143,Baby Changing Tables
151,152,143,High Chairs & Booster Seats
152,153,1,Bathroom Furniture
153,154,153,Bathroom Worktops
154,155,153,Bathroom Cabinets
155,156,153,Bathroom Organisers
156,157,153,Bathroom Cabinets & Shelves
157,158,153,Bathroom Vanity Units
158,159,1,Storage Furniture
159,160,159,Bathroom Vanity Units
160,161,159,Bookcases
161,162,159,Wardrobes & Armoires
162,163,159,Chests of Drawers
163,164,159,Sideboards
164,165,159,Media Storage & Media Units
165,166,165,TV Stands & Units
166,167,165,DVD & CD Racks
167,168,165,Media Cabinets
168,169,159,Display Cabinets & Dressers
169,170,159,Decorative Chests & Cabinets
170,171,159,Pantry Cupboards
171,172,159,Storage Cabinets
172,173,159,Kitchen Islands & Trolleys
173,174,1,Games Room & Bar Furniture
174,175,174,Kitchen & Bar Stools
175,176,174,Bar Tables & Bar Table Sets
176,177,174,Drinks Trolleys & Bar Carts
177,178,174,Games Tables
178,179,174,Drinks Cabinets
179,180,174,Gaming Chairs
180,181,174,Bean Bags
181,182,1,Hallway Furniture
182,183,182,Umbrella & Coat Stands
183,184,182,Console Tables
184,185,182,Indoor Benches
185,186,185,Dining Benches
186,187,185,Upholstered Benches
187,188,185,Hall Trees
188,189,185,Accent & Storage Benches
189,190,182,Display & Wall Shelves
190,191,182,Shoe Storage
191,192,182,Hall Trees
192,193,1,Mobility Furniture
193,194,,Lighting
194,195,194,Ceiling Lighting
195,196,195,Pendant Lighting
196,197,195,Chandeliers
197,198,195,Track Lighting
198,199,198,Track Lighting Kits
199,200,195,Recessed Lighting
200,201,200,Recessed Housings
201,202,200,Recessed Lighting Kits
202,203,195,Spotlights & Downlights
203,204,195,Flush Ceiling Lights
204,205,195,Kitchen Island Lighting
205,206,195,Ceiling Fans
206,207,194,Lamps
207,208,207,Desk Lamps
208,209,207,Floor Lamps
209,210,207,Lamp Bases
210,211,207,Lamp Sets
211,212,207,Lampshades
212,213,207,Table Lamps
213,214,194,Wall Lighting
214,215,214,Bathroom Wall Lights
215,216,214,Display & Picture Lights
216,217,214,Swing Arm & Reading Lights
217,218,214,Wall Sconces
218,219,194,Outdoor Lighting
219,220,219,Garden Lights
220,221,220,Decking Lights
221,222,220,Path Lights
222,223,219,Outdoor Wall Lights
223,224,219,Outdoor Hanging Lights
224,225,219,Outdoor Fairy Lights
225,226,219,Lamp Posts
226,227,219,Security Lights
227,228,219,Outdoor Table Lamps
228,229,219,Outdoor Floor Lamps
229,230,219,Outdoor Ceiling Lights
230,231,194,Bathroom Wall Lights
231,232,194,Children's Lighting
232,233,232,Children's Lamps
233,234,232,Children's Ceiling Lights
234,235,232,Night Lights
235,236,194,Lighting Accessories
236,237,236,Lighting Hardware
237,238,236,Light Bulbs
238,239,238,Compact Fluorescent Bulbs
239,240,238,Halogen Bulbs
240,241,238,Incandescent Bulbs
241,242,238,LED Bulbs
242,243,236,Lampshades
243,244,236,Ceiling Roses
244,245,236,Ceiling Fan Accessories
245,246,236,Lighting Globes
246,247,236,Lamp Bases
247,248,194,Ceiling Fans
248,249,194,Kitchen Lighting
249,250,249,Under Cabinet Lighting
250,251,249,Kitchen Island Lighting
251,252,194,Novelty Lights
252,253,194,Christmas Lights
253,254,,Home Decor
254,255,254,Rugs
255,256,255,Children's Rugs
256,257,255,Doormats
257,258,255,Floor Rugs
258,259,255,Hall & Stair Runners
259,260,255,Specialist Rugs
260,261,255,Outdoor Rugs
261,262,254,Decorative Accessories
262,263,262,Cushions & Throws
263,264,263,Floor Cushions & Pouffes
264,265,263,Scatter Cushions
265,266,263,Throws
266,267,262,World Globes
267,268,262,Decorative Storage
268,269,268,Magazine Racks
269,270,268,Storage Baskets
270,271,268,Umbrella & Coat Stands
271,272,268,Jewellery Boxes & Organisers
272,273,268,Photo Albums
273,274,268,Decorative Suitcases & Trunks
274,275,268,Decorative Boxes
275,276,268,Decorative Bowls
276,277,268,Display & Wall Shelves
277,278,262,Decorative Jars & Urns
278,279,262,Artificial Plants
279,280,279,Artificial Flowers
280,281,279,Artificial Plants & Trees
281,282,262,Accent & Garden Stools
282,283,262,Bookends
283,284,262,Candles & Home Fragrances
284,285,284,Candles
285,286,284,Candle Holders & Candelabra
286,287,284,Home Fragrances
287,288,262,Picture Frames
288,289,262,"Plants, Pots & Water Features"
289,290,289,Terrariums
290,291,289,Indoor Pots & Planters
291,292,262,Screens & Room Dividers
292,293,262,Ornaments & Statues
293,294,262,Vases
294,295,262,Decorative Plates
295,296,262,Plate Stands & Hangers
296,297,254,Mirrors
297,298,297,Bathroom Mirrors
298,299,297,Makeup Mirrors
299,300,297,Wall Mirrors
300,301,297,Freestanding Mirrors
301,302,254,Artwork & Prints
302,303,302,Drawings & Illustrations
303,304,302,Fine Art Prints
304,305,302,Photographs
305,306,302,Mixed Media Art
306,307,302,Paintings
307,308,302,Sculptures
308,309,254,Cushions & Throws
309,310,309,Floor Cushions & Pouffes
310,311,309,Scatter Cushions
311,312,309,Throws
312,313,254,Wall Decor
313,314,313,Decorative Signs
314,315,313,Tapestries
315,316,313,Wall Mirrors
316,317,313,Wall Panels
317,318,313,Wall Sculptures
318,319,313,Decorative Wall Plaques & Objects
319,320,313,Metal Wall Art
320,321,313,Prints & Posters
321,322,313,Wallpaper
322,323,313,Wall Stickers
323,324,313,Noticeboards & Blackboards
324,325,254,Clocks
325,326,325,Wall Clocks
326,327,325,Floor & Grandfather Clocks
327,328,325,Desk & Mantel Clocks
328,329,325,Cuckoo Clocks
329,330,325,Alarm Clocks
330,331,325,Children's Clocks
331,332,254,Lamps
332,333,332,Desk Lamps
333,334,332,Floor Lamps
334,335,332,Lamp Bases
335,336,332,Lamp Sets
336,337,332,Lampshades
337,338,332,Table Lamps
338,339,254,Window Treatments
339,340,339,Curtain Accessories
340,341,339,Curtains
341,342,339,Curtain Poles & Accessories
342,343,339,Window Blinds & Shutters
343,344,343,Roller Blinds
344,345,254,Fabric
345,346,345,Curtain Fabric
346,347,345,Fabric Trimmings
347,348,345,Upholstery Fabric
348,349,345,Outdoor Fabric
349,350,254,Games Room & Home Bar Decor
350,351,350,Games
351,352,350,Games Tables
352,353,350,Novelty Lights
353,354,254,Seasonal Decorations
354,355,354,Seasonal Outdoor Decorations
355,356,354,Christmas Decorations
356,357,356,Holiday Accents & Figurines
357,358,356,Christmas Ornaments
358,359,356,Christmas Trees
359,360,354,Christmas Ornaments
360,361,354,Christmas Trees
361,362,354,Holiday Accents & Figurines
362,363,354,Christmas Lights
363,364,354,Wreaths & Garlands
364,365,,Kitchen & Dining
365,366,365,Kitchen & Dining Furniture
366,367,366,Dining Chairs
367,368,366,Dining Benches
368,369,366,Kitchen & Bar Stools
369,370,366,Dining Tables
370,371,366,Dining Table Sets
371,372,366,Sideboards
372,373,366,Display Cabinets & Dressers
373,374,366,Pantry Cupboards
374,375,366,Kitchen Islands & Trolleys
375,376,366,Drinks Trolleys & Bar Carts
376,377,366,Bar Tables & Bar Table Sets
377,378,366,Folding Tables
378,379,366,Seat Cushions
379,380,366,Table Tops & Bases
380,381,365,Kitchen Storage & Organisation
381,382,381,Kitchen Cabinets
382,383,381,Kitchen Drawer Dividers
383,384,381,Wine Racks & Wine Cabinets
384,385,381,Glassware & Plate Storage
385,386,381,Cutlery Boxes
386,387,381,Kitchen Cupboard Organisers
387,388,381,Kitchen Roll Holders
388,389,381,Spice Racks & Spice Jars
389,390,381,Utensil Holders & Jars
390,391,381,Food & Drink Carriers
391,392,391,Water Bottles
392,393,391,Picnic Hampers
393,394,391,Thermos Flasks
394,395,391,Lunch Boxes & Bags
395,396,381,Food Containers
396,397,396,Bread Bins
397,398,396,Oil & Vinegar Bottles
398,399,396,Kitchen Canisters & Jars
399,400,396,Food Storage Containers
400,401,381,Napkin Holders
401,402,381,Pot Racks & Accessories
402,403,381,Cookbook Stands
403,404,381,Dish Drainers
404,405,381,Kitchen Islands & Trolleys
405,406,381,Pantry Cupboards
406,407,365,Tableware
407,408,407,Kitchen & Table Linens
408,409,408,Oven Gloves
409,410,408,Aprons
410,411,408,Tea Towels
411,412,408,Napkin Rings
412,413,408,Tablecloths
413,414,408,Napkins
414,415,408,Placemats
415,416,408,Table Runners
416,417,407,Tabletop Accessories
417,418,417,Napkin Rings
418,419,417,Coasters
419,420,417,Trivets
420,421,407,Crockery
421,422,421,Cups & Glassware
422,423,422,Teacups
423,424,422,Christmas Drinkware
424,425,422,Cappuccino & Espresso Cups
425,426,422,Outdoor Drinkware
426,427,422,Bar Glasses
427,428,427,Beer Glasses
428,429,427,Wine Glasses
429,430,427,Shot Glasses
430,431,427,Liquor Glasses
431,432,427,Cocktail Glasses
432,433,422,Wine Glasses
433,434,422,Glasses
434,435,422,Mugs
435,436,421,Saucers
436,437,421,Dessert & Side Plates
437,438,421,Christmas Tableware
438,439,421,Dinner Sets
439,440,421,Dinner Plates
440,441,421,Bowls
441,442,421,Charger Plates
442,443,407,Cups & Glassware
443,444,443,Teacups
444,445,443,Christmas Drinkware
445,446,443,Cappuccino & Espresso Cups
446,447,443,Outdoor Drinkware
447,448,443,Bar Glasses
448,449,448,Cocktail Glasses
449,450,448,Beer Glasses
450,451,448,Wine Glasses
451,452,448,Shot Glasses
452,453,448,Liquor Glasses
453,454,443,Wine Glasses
454,455,443,Glasses
455,456,443,Mugs
456,457,407,Cutlery
457,458,457,Cutlery Sets
458,459,457,Table Knives
459,460,457,Spoons
460,461,457,Forks
461,462,407,Serveware
462,463,462,Fruit Bowls & Baskets
463,464,462,Egg Cups
464,465,462,Chip & Dip Sets
465,466,462,Carafes
466,467,462,Butter Dishes
467,468,462,Cheese Boards & Platters
468,469,462,Drink Dispensers
469,470,462,Condiment Holders & Sets
470,471,462,Speciality Serveware
471,472,462,Tureens
472,473,462,Tea Sets
473,474,462,Gravy Boats
474,475,462,Teapots
475,476,462,Sugar Bowls & Milk Jugs
476,477,462,Dessert & Cake Stands
477,478,462,Jugs
478,479,462,Serving Dishes & Platters
479,480,462,Salad & Serving Bowls
480,481,462,Serving Trays
481,482,462,Serving Utensils
482,483,365,Cookware & Bakeware
483,484,483,Bakeware
484,485,484,Ramekins
485,486,484,Pizza Stones & Pans
486,487,484,Silicone & Chocolate Moulds
487,488,484,Baking Dishes & Baking Tins
488,489,484,Baking Tools
489,490,489,Speciality Baking Tools
490,491,489,Rolling Pins
491,492,489,Cookie Cutters
492,493,484,Cake Tins
493,494,484,Cookie Cutters
494,495,484,Baking Trays
495,496,484,Cupcake & Muffin Trays
